,loan_ammount,loan_duration,loan_payment,no_of_inhabitants,no_of_inhabitants<499,no_of_inhabitants 500-1999,no_of_inhabitants 2000-9999,no_of_inhabitants>10000,district_no_of_cities,ration_of_urban_inhabitants,district_avg_salary,No.enterpreneurs/100inhabitans,Paid_loan_amount,avg_unemployment_rate,avg_crime_rate,days_btw_aco_to_lon,client_age,AF1,AF2,C1,C2,C3,Loan_Status
0,96396,12,8033.0,94812,15,13,8,2,10,81.8,9650,100,8033.2,16.8504,110.27535544023964,105,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,52128,24,2172.0,94812,15,13,8,2,10,81.8,9650,100,2172.0,16.8504,110.27535544023964,264,24.0,0.0,0.0,1.0,0.0,0.0,0.0
2,165960,36,4610.0,112709,48,20,7,3,10,73.5,8369,117,4610.0,6.19045,92.30699411759487,148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,390096,48,8127.0,112709,48,20,7,3,10,73.5,8369,117,8127.0,6.19045,92.30699411759487,163,27.0,0.0,0.0,0.0,0.0,1.0,0.0
4,219456,48,4572.0,112709,48,20,7,3,10,73.5,8369,117,4572.0,6.19045,92.30699411759487,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,468060,60,7801.0,112709,48,20,7,3,10,73.5,8369,117,7801.2,6.19045,92.30699411759487,470,27.0,0.0,1.0,1.0,0.0,0.0,0.0
6,339168,48,7066.0,112709,48,20,7,3,10,73.5,8369,117,7066.0,6.19045,92.30699411759487,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,185640,60,3094.0,112709,48,20,7,3,10,73.5,8369,117,3094.5,6.19045,92.30699411759487,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,127080,60,2118.0,77917,85,19,6,1,5,53.5,8390,132,2118.3,11.455400000000001,128.40665066673512,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,74736,36,2076.0,77917,85,19,6,1,5,53.5,8390,132,2076.0,11.455400000000001,128.40665066673512,399,24.0,0.0,0.0,1.0,0.0,0.0,0.0
10,115992,36,3222.0,77917,85,19,6,1,5,53.5,8390,132,3221.5,11.455400000000001,128.40665066673512,613,24.0,0.0,1.0,1.0,0.0,0.0,0.0
11,204000,60,3400.0,77917,85,19,6,1,5,53.5,8390,132,3400.5,11.455400000000001,128.40665066673512,366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,93960,60,1566.0,77917,85,19,6,1,5,53.5,8390,132,1566.0,11.455400000000001,128.40665066673512,452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,50976,36,1416.0,77917,85,19,6,1,5,53.5,8390,132,1416.0,11.455400000000001,128.40665066673512,496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,184620,60,3077.0,77917,85,19,6,1,5,53.5,8390,132,3076.8,11.455400000000001,128.40665066673512,606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,105804,36,2939.0,107870,84,29,6,1,6,58.0,8754,137,2938.7,17.19515,142.7825530731436,185,23.0,0.0,0.0,1.0,0.0,0.0,0.0
16,76908,12,6409.0,107870,84,29,6,1,6,58.0,8754,137,6408.8,17.19515,142.7825530731436,485,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,143904,24,5996.0,107870,84,29,6,1,6,58.0,8754,137,5996.2,17.19515,142.7825530731436,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0
